Suburb,Month,Year,avg_price
BULLEEN,June,2016,1072714.333
BULLEEN,July,2016,1038000
BULLEEN,August,2016,1060771.8
BULLEEN,September,2016,1194428.571
BULLEEN,October,2016,1093469.429
BULLEEN,November,2016,1192648.833
BULLEEN,December,2016,1189444.444
BULLEEN,February,2017,1073333.333
BULLEEN,March,2017,1305000
BULLEEN,April,2017,1144143.6
BULLEEN,May,2017,1074543.143
BULLEEN,June,2017,1193333.333
BULLEEN,July,2017,1210500
BULLEEN,August,2017,1286333.333
BULLEEN,September,2017,1164333.333
BUNDOORA,May,2017,824812.5
BUNDOORA,June,2017,775954.5455
BUNDOORA,July,2017,761470.2667
BUNDOORA,August,2017,867266.6667
BUNDOORA,September,2017,803483.1
BURNLEY,April,2016,881000
BURNLEY,September,2016,1202500
BURNLEY,December,2016,1118005
BURNLEY,February,2017,1435000
BURNLEY,May,2017,1837500
BURNLEY,June,2017,1100000
BURNLEY,August,2017,370000
BURNLEY,September,2017,370000
BURNSIDE,August,2017,599375
BURNSIDE,September,2017,657500
BURNSIDE HEIGHTS,May,2017,586500
BURNSIDE HEIGHTS,June,2017,527200
BURNSIDE HEIGHTS,July,2017,535000
BURNSIDE HEIGHTS,August,2017,603000
BURNSIDE HEIGHTS,September,2017,617500
BURWOOD,February,2016,1453000
BURWOOD,April,2016,1449832.333
BURWOOD,May,2016,1209138
BURWOOD,June,2016,1156188.19
BURWOOD,July,2016,813033
BURWOOD,August,2016,1042147.571
BURWOOD,September,2016,1063857.75
BURWOOD,October,2016,1387721.5
BURWOOD,November,2016,1244069.636
BURWOOD,December,2016,1369233.545
BURWOOD,February,2017,1186954.4
BURWOOD,March,2017,1192990.133
BURWOOD,April,2017,1241038.333
BURWOOD,May,2017,1217113.263
BURWOOD,June,2017,1090985
BURWOOD,July,2017,1399921.167
BURWOOD,August,2017,1335377
BURWOOD,September,2017,1353821.364
BURWOOD EAST,May,2017,780000
BURWOOD EAST,June,2017,1149496.333
BURWOOD EAST,July,2017,1166116.857
BURWOOD EAST,August,2017,1000000
BURWOOD EAST,September,2017,1010508.222
CAIRNLEA,May,2017,720000
CAIRNLEA,June,2017,724100
CAIRNLEA,July,2017,656640
CAIRNLEA,August,2017,560000
CAIRNLEA,September,2017,716833.5
CAMBERWELL,April,2016,1618702.444
CAMBERWELL,May,2016,2278600.407
CAMBERWELL,June,2016,1528848.667
CAMBERWELL,July,2016,1175859.6
CAMBERWELL,August,2016,2174429.261
CAMBERWELL,September,2016,2031818.765
CAMBERWELL,October,2016,1931758.727
CAMBERWELL,November,2016,1510308.96
CAMBERWELL,December,2016,1960128.688
CAMBERWELL,February,2017,2140156.4
CAMBERWELL,March,2017,1994653.905
CAMBERWELL,April,2017,1388153.545
CAMBERWELL,May,2017,2321166.931
CAMBERWELL,June,2017,1818597.75
CAMBERWELL,July,2017,1267067.786
CAMBERWELL,August,2017,1928011.533
CAMBERWELL,September,2017,2050647.731
CAMPBELLFIELD,August,2017,650000
CANTERBURY,January,2016,2778864
CANTERBURY,April,2016,1317237.5
CANTERBURY,May,2016,3077349
CANTERBURY,June,2016,1134080
CANTERBURY,July,2016,1421593.75
CANTERBURY,August,2016,2944279.667
CANTERBURY,September,2016,1859539.833
CANTERBURY,October,2016,2350644
CANTERBURY,November,2016,2118858
CANTERBURY,December,2016,2660973.167
CANTERBURY,February,2017,3289432
CANTERBURY,March,2017,2409025.375
CANTERBURY,April,2017,2014000
CANTERBURY,May,2017,3098144.727
CANTERBURY,June,2017,1937691.286
CANTERBURY,July,2017,816000
CANTERBURY,August,2017,2319074
CANTERBURY,September,2017,2382418.083
CARLTON,April,2016,1199898.667
CARLTON,May,2016,1007103.167
CARLTON,June,2016,1096666.667
CARLTON,July,2016,778500
CARLTON,August,2016,1054142.857
CARLTON,September,2016,1355000
CARLTON,October,2016,880000
CARLTON,November,2016,817333.3333
CARLTON,December,2016,921111
CARLTON,February,2017,2160500
CARLTON,March,2017,1032087
CARLTON,April,2017,876250
CARLTON,May,2017,947782.6667
CARLTON,June,2017,1046666.5
CARLTON,July,2017,921253.625
CARLTON,August,2017,1206087
CARLTON,September,2017,845366
CARLTON NORTH,April,2016,1867000
CARLTON NORTH,May,2016,1967350
CARLTON NORTH,June,2016,725000
CARLTON NORTH,July,2016,1401916.5
CARLTON NORTH,August,2016,1397111
CARLTON NORTH,September,2016,1116611
CARLTON NORTH,October,2016,1047500
CARLTON NORTH,November,2016,2400000
CARLTON NORTH,December,2016,1128625
CARLTON NORTH,February,2017,1623111
CARLTON NORTH,March,2017,1555291.625
CARLTON NORTH,April,2017,550000
CARLTON NORTH,May,2017,1537908.3
CARLTON NORTH,June,2017,1881700
CARLTON NORTH,July,2017,1213333.333
CARLTON NORTH,August,2017,1585666.5
CARLTON NORTH,September,2017,1144266.6
CARNEGIE,April,2016,981867.3
CARNEGIE,May,2016,1049722.412
CARNEGIE,June,2016,649764.7059
CARNEGIE,July,2016,696650
CARNEGIE,August,2016,890443.1429
CARNEGIE,September,2016,1036666.667
CARNEGIE,October,2016,562964.5
CARNEGIE,November,2016,914550.4444
CARNEGIE,December,2016,1026515.875
CARNEGIE,February,2017,1004118.182
CARNEGIE,March,2017,849153.8667
CARNEGIE,April,2017,759795.4
CARNEGIE,May,2017,1020796.933
CARNEGIE,June,2017,1083617.933
CARNEGIE,July,2017,909600.9474
CARNEGIE,August,2017,817414.8571
CARNEGIE,September,2017,995520
CAROLINE SPRINGS,May,2017,545444
CAROLINE SPRINGS,June,2017,778333.3333
CAROLINE SPRINGS,July,2017,519666.6667
CAROLINE SPRINGS,August,2017,785000
CAROLINE SPRINGS,September,2017,646000
CARRUM,May,2017,885000
CARRUM,June,2017,758238.1667
CARRUM,July,2017,650000
CARRUM,August,2017,685000
CARRUM,September,2017,721750
CARRUM DOWNS,May,2017,532500
CARRUM DOWNS,June,2017,550486
CARRUM DOWNS,July,2017,510166.6667
CARRUM DOWNS,August,2017,561375
CARRUM DOWNS,September,2017,559250
CAULFIELD,April,2016,1220000
CAULFIELD,June,2016,1090000
CAULFIELD,September,2016,722500
CAULFIELD,November,2016,638000
CAULFIELD,December,2016,1146656
CAULFIELD,February,2017,131000
CAULFIELD,March,2017,436500
CAULFIELD,April,2017,496656
CAULFIELD,May,2017,552500
CAULFIELD,June,2017,730500
CAULFIELD,August,2017,1070000
CAULFIELD,September,2017,341000
CAULFIELD EAST,May,2016,555000
CAULFIELD EAST,June,2016,1315000
CAULFIELD EAST,July,2016,1335000
CAULFIELD EAST,October,2016,1300000
CAULFIELD EAST,December,2016,620000
CAULFIELD EAST,February,2017,1000000
CAULFIELD EAST,May,2017,650926
CAULFIELD EAST,June,2017,350000
CAULFIELD EAST,July,2017,1550000
CAULFIELD EAST,September,2017,1011694.5
CAULFIELD NORTH,May,2016,1215833.333
CAULFIELD NORTH,August,2016,1030166.667
CAULFIELD NORTH,September,2016,865093
CAULFIELD NORTH,October,2016,2115000
CAULFIELD NORTH,November,2016,542000
CAULFIELD NORTH,December,2016,984333.3333
CAULFIELD NORTH,February,2017,1245800
CAULFIELD NORTH,March,2017,844522.25
CAULFIELD NORTH,April,2017,532500
CAULFIELD NORTH,May,2017,1368179.125
CAULFIELD NORTH,June,2017,901081.8333
